cq_id;use_case;scenario_step;dimension;question;required_features
CQ-001;UC-HTTP-1;;Retrieval;Which HTTP messages are described in the dataset?;message
CQ-002;UC-HTTP-1;;Retrieval;Which HTTP requests are present?;request
CQ-003;UC-HTTP-1;;Retrieval;Which HTTP responses are present?;response
CQ-004;UC-HTTP-1;;Retrieval;For each request, what is the associated response?;request,response,req_resp_link
CQ-005;UC-HTTP-1;;Validation;Are there requests without an associated response?;request,req_resp_link
CQ-006;UC-HTTP-1;;Validation;Are there responses not linked to any request?;response,req_resp_link
CQ-007;UC-HTTP-1;;Retrieval;What is the method used for each request?;request,method,method_name
CQ-008;UC-HTTP-1;;Retrieval;Which HTTP methods appear in the requests?;method
CQ-009;UC-HTTP-1;;Quantification;How many requests were made in total?;request
CQ-010;UC-HTTP-1;;Quantification;How many responses were recorded in total?;response
CQ-011;UC-HTTP-1;;Quantification;How many requests use each method (GET/POST/...)?;request,method
CQ-012;UC-HTTP-1;;Retrieval;What is the status code of each response?;response,status,status_code_number
CQ-013;UC-HTTP-1;;Quantification;How many responses have each status code?;response,status,status_code_number
CQ-014;UC-HTTP-1;;Retrieval;Which requests have prodotto a response con code 2xx?;response,status_code_number
CQ-015;UC-HTTP-1;;Retrieval;Which requests have prodotto a response con errore lato client (4xx)?;response,status_code_number
CQ-016;UC-HTTP-1;;Retrieval;Which requests have prodotto a response con errore lato server (5xx)?;response,status_code_number
CQ-017;UC-HTTP-1;;Retrieval;What is the phrase of reason (reason phrase) of the response, se present?;response,reason_phrase
CQ-018;UC-HTTP-1;;Retrieval;What is the version of the protocollo HTTP riportata For each message?;message,http_version
CQ-019;UC-HTTP-1;;Classification;Which responses rientrano in the categoria 'informational' (1xx)?;status_categories,response
CQ-020;UC-HTTP-1;;Classification;Which responses rientrano in the categoria 'successful' (2xx)?;status_categories,response
CQ-021;UC-HTTP-1;;Classification;Which responses rientrano in the categoria 'redirection' (3xx)?;status_categories,response
CQ-022;UC-HTTP-1;;Classification;Which responses rientrano in the categoria 'client error' (4xx)?;status_categories,response
CQ-023;UC-HTTP-1;;Classification;Which responses rientrano in the categoria 'server error' (5xx)?;status_categories,response
CQ-024;UC-HTTP-2;;Retrieval;What is the'destination URI (URL) of each request?;request,request_uri
CQ-025;UC-HTTP-2;;Retrieval;Which requests puntano a a given URL esatto?;request,request_uri
CQ-026;UC-HTTP-2;;Retrieval;Which requests puntano a a given host/authority?;request,uri_authority
CQ-027;UC-HTTP-2;;Retrieval;What is the'authority (host[:porta]) of a URL?;uri_authority
CQ-028;UC-HTTP-2;;Retrieval;What is the path (path) dell'URL richiesto?;uri_path
CQ-029;UC-HTTP-2;;Retrieval;What is the scheme (http/https) dell'URL richiesto?;uri_scheme
CQ-030;UC-HTTP-2;;Retrieval;What is the stringa of query dell'URL richiesto?;uri_query
CQ-031;UC-HTTP-2;;Retrieval;What is the fragment (#...) dell'URL richiesto, se present?;uri_fragment
CQ-032;UC-HTTP-2;;Quantification;How many requests were made to each host?;request,uri_authority
CQ-033;UC-HTTP-2;;Quantification;How many requests were made to each path?;request,uri_path
CQ-034;UC-HTTP-2;;Retrieval;Which requests have a URL con query not vuota?;request,uri_query
CQ-035;UC-HTTP-2;;Retrieval;Which requests have a fragment nell'URL?;request,uri_fragment
CQ-036;UC-HTTP-2;;Retrieval;Which parameters of query are present nell'URL of a request?;request,query_params
CQ-037;UC-HTTP-2;;Retrieval;Which are i nomi unici of the parameters of query observed?;query_params
CQ-038;UC-HTTP-2;;Quantification;How many times does each name of parameter of query appear?;query_params
CQ-039;UC-HTTP-2;;Retrieval;For a given name of parameter of query, which values were observed?;query_params
CQ-040;UC-HTTP-2;;Retrieval;Which requests contain a certo parameter of query (indipendentemente dal value)?;request,query_params
